date,steps,distance_km,calories
2025-03-01,8500,6.8,340
2025-03-02,10200,8.2,408
2025-03-03,7800,6.2,312
2025-03-04,12000,9.6,480
2025-03-05,9300,7.4,372
2025-03-06,11500,9.2,460
2025-03-07,8900,7.1,356
2025-03-08,10800,8.6,432
2025-03-09,9600,7.7,384
2025-03-10,13000,10.4,520
2025-03-11,8200,6.6,328
2025-03-12,11800,9.4,472
2025-03-13,9900,7.9,396
2025-03-14,10500,8.4,420
2025-03-15,12500,10.0,500
2025-03-16,9800,7.8,392
2025-03-17,11200,9.0,448
2025-03-18,10300,8.2,412
2025-03-19,8700,7.0,348
2025-03-20,12100,9.7,484
2025-03-21,9500,7.6,380
2025-03-22,10700,8.6,428
2025-03-23,12800,10.2,512
2025-03-24,9200,7.4,368
2025-03-25,11500,9.2,460
2025-03-26,10100,8.1,404
2025-03-27,9400,7.5,376
2025-03-28,12200,9.8,488
2025-03-29,10900,8.7,436
2025-03-30,8300,6.6,332
2025-03-31,11000,8.8,440
2025-04-01,9700,7.8,388
2025-04-02,12300,9.8,492
2025-04-03,10400,8.3,416
2025-04-04,9100,7.3,364 
